publication_id,Nom,Type,Thématique,Lieu,Période,Périodicité,Scope
coead2005,Mémoire de Magister,Journal,Not found,Not found,Not found,Not found,Not found
scpad2006,"Conférence Internationale sur l'Informatique et ses Applications, CIIA06",Journal,Not found,Not found,Not found,Not found,Not found
taies2006,"Premières Rencontres Jeunes Chercheurs en EIAH, 2006. 11 et 12 Mai 2006, Paris, France.",Conference,Not found,Not found,Not found,Not found,Not found
peton2007,Environnements Informatiques pour l'Apprentissage Humain (EIAH 2007),Conference,Not found,Not found,Not found,Not found,Not found
pread2007,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
aiuad2008,"1ère Conférence Internationale Systèmes d'Information et Intelligence Economique, 14-16 Février 2008, Hammamet, Tunisie",Conference,Not found,Not found,Not found,Not found,Not found
deoes2008,International Conference on Intelligent Tutoring Systems,Conference,Not found,Not found,Not found,Not found,Not found
dtsge2008,Atelier Mesures de Similarité Sémantique (EGC'08). 8èmes Journées Francophones Extraction et Gestion des Connaissances,Journal,Not found,Not found,Not found,Not found,Not found
dtnrs2008,"Proceedings of the 1st International Conference on Web and Information Technologies, ICWIT08, Sidi Bel Abes, Algeria",Journal,Not found,Not found,Not found,Not found,Not found
dtyue2008,Technologies de l'Information et de la Communication pour l'Education,Conference,Not found,Not found,Not found,Not found,Not found
honon2008,"Proceedings of the 16th International Conference on Computers in Education, ICCE",Journal,Not found,Not found,Not found,Not found,Not found
venrs2008,"International Conference on Web and InformationTechnologies, ICWIT'08",Conference,Not found,Not found,Not found,Not found,Not found
vepnt2008,2nd Rencontre des Jeunes Chercheurs en EIAH,Conference,Not found,Not found,Not found,Not found,Not found
dehes2009,"Research, Reflections and Innovations in Integrating ICT in Education",Conference,Not found,Not found,Not found,Not found,Not found
dtdon2009,"Environnements Informatiques pour l'Apprentissage Humain, EIAH 2009",Conference,Not found,Not found,Not found,Not found,Not found
insor2009,2009 Ninth IEEE International Conference on Advanced Learning Technologies,Conference,Not found,Not found,Not found,Not found,Not found
meeng2009,2009 IEEE Symposium on Computers and Communications,Conference,Not found,Not found,Not found,Not found,Not found
andem2010,"International Journal of Learning, Teaching and Educational Research",Journal,Education,Mauritius,2018-2025,Not found,Information not localized
annts2010,Educational Data Mining 2010 - 3rd International Conference on Educational Data Mining,Conference,Computer Science Applications,United States,-,Not found,Not found
letis2010,User Modeling and User-Adapted Interaction,Journal,Computer Science Applications,Netherlands,1991-2025,Not found,"User Modeling and User-Adapted Interaction provides an interdisciplinary forum for the dissemination of novel and significant original research results about interactive computer systems that can adapt themselves to their users, and on the design, use, and evaluation of user models for adaptation. The journal publishes high-quality original papers from, e.g., the following areas: acquisition and formal representation of user models; conceptual models and user stereotypes for personalization; student modeling and adaptive learning; models of groups of users; user model driven personalised information discovery and retrieval; recommender systems; adaptive user interfaces and agents; adaptation for accessibility and inclusion; generic user modeling systems and tools; interoperability of user models; personalization in areas such as; affective computing; ubiquitous and mobile computing; language based interactions; multi-modal interactions; virtual and augmented reality; social media and the Web; human-robot interaction; behaviour change interventions; personalized applications in specific domains; privacy, accountability, and security of information for personalization; responsible adaptation: fairness, accountability, explainability, transparency and control; methods for the design and evaluation of user models and adaptive systems"
mooes2010,"ICEIT 2010 - 2010 International Conference on Educational and Information Technology, Proceedings",Conference,Information Systems,United States,-,Not found,Not found
mon102010,the Proceedings of 2010 International Conference on Educational and Information Technology,Conference,Not found,Not found,Not found,Not found,Not found
anese2011,CSEDU 2016 - Proceedings of the 8th International Conference on Computer Supported Education,Conference,Computer Networks and Communications,Portugal,-,Not found,"CSEDU 2016, the International Conference on Computer Supported Education, aims at becoming a yearly meeting place for presenting and discussing new educational environments, best practices and case studies on innovative technology-based learning strategies, institutional policies on computer supported education including open and distance education, using computers. In particular, the Web is currently a preferred medium for distance learning and the learning practice in this context is usually referred to as e-learning. CSEDU 2016 is expected to give an overview of the state of the art as well as upcoming trends, and to promote discussion about the pedagogical potential of new learning and educational technologies in the academic and corporate world.
CONFERENCE AREAS
1 . Information Technologies Supporting Learning
2 . Learning/Teaching Methodologies and Assessment
3 . Social Context and Learning Environments
4 . Domain Applications and Case Studies
5 . Ubiquitous Learning"
anage2011,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
suies2011,International Journal of Information and Learning Technology,Journal,Computer Networks and Communications,United Kingdom,2015-2025,Not found,"International Journal of Information and Learning Technology (IJILT) provides a forum for the sharing of the latest theories, applications, and services related to planning, developing, managing, using, and evaluating information technologies in administrative, academic, and library computing, as well as other educational technologies.

Submissions can include research:

-Illustrating and critiquing educational technologies
-New uses of technology in education
-Issue-or results-focused case studies detailing examples of technology applications in higher education
-In-depth analyses of the latest theories, applications and services in the field
The journal provides wide-ranging and independent coverage of the management, use and integration of information resources and learning technologies."
trseb2011,Partager des données d'observation pour la recherche en EIAH: traces d'activité d'apprentissage Atelier 4-EIAH 2011,Journal,Not found,Not found,Not found,Not found,Not found
esdol2014,"New Horizons in Web Based Learning: ICWL 2011 International Workshops, KMEL, ELSM, and SPeL, Hong Kong, December 8-10, 2011, ICWL 2012 International Workshops, KMEL, SciLearn, and CCSTED, Sinaia, Romania, September 2-4, 2012. Revised Selected Papers 11",Conference,Not found,Not found,Not found,Not found,Not found
whcts2014,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
adtle2015,"Advances in Web-Based Learning-ICWL 2013 Workshops: USL 2013, IWSLL 2013, KMEL 2013, IWCWL 2013, WIL 2013, and IWEEC 2013, Kenting, Taiwan, October 6-9, 2013, Revised Selected Papers 12",Conference,Not found,Not found,Not found,Not found,Not found
evpge2015,La 7ème édition de la conférence EIAH (EIAH'2015) ; Atelier Évaluation des Apprentissages et Environnements Informatique,Conference,Not found,Not found,Not found,Not found,Not found
aslon2016,International Journal of Emerging Technologies in Learning,Journal,Engineering (miscellaneous),Austria,2007-2023,Not found,"This interdisciplinary journal focuses on the exchange of relevant trends and research results and presents practical experiences gained while developing and testing elements of technology enhanced learning especially in the post secondary field.
It bridges the gap between pure academic research journals and more practical publications. So it covers the full range from research, application development to experience reports and product descriptions.
Our main field of publications is post secondary education.

Fields of interest include, but are not limited to:

-Online Learning Tools-

Blended Learning-

MOOCs, SPOCs-

Knowledge Management in learning-

Semantic Web Technologies-

MashUp Technologies-

Platforms and Content Authoring-

New Learning Models and Applications-

Pedagogical and Psychological Issues-

Trust / Security-

Internet Applications-

Networked Tools-

Visualisation-

Language /Speech-

Collaboration Tools / Collaborative Networks"
auvty2016,Journal of Educational Computing Research,Journal,Computer Science Applications,United States,"1990, 1996-2025",Not found,"The goal of this Journal is to provide an international scholarly publication forum for peer-reviewed interdisciplinary research into the applications, effects, and implications of computer-based education. The Journal features articles useful for practitioners and theorists alike.

The terms ""education"" and ""computing"" are viewed broadly. “Education” refers to the use of computer-based technologies at all levels of the formal education system, business and industry, home-schooling, lifelong learning, and unintentional learning environments. “Computing” refers to all forms of computer applications and innovations - both hardware and software. For example, this could range from mobile and ubiquitous computing to immersive 3D simulations and games to computing-enhanced virtual learning environments."
adnak2019,International Journal of Reasoning-based Intelligent Systems,Journal,Computer Science (miscellaneous),Switzerland,2009-2024,Not found,"IJRIS is an interdisciplinary forum that publishes original and significant work related to intelligent systems based on all kinds of formal and informal reasoning. Intelligent systems imply any systems that can do systematised reasoning, including automated and heuristic reasoning."
sncch2019,"Proceedings - 2019 IEEE/ACM 6th International Conference on Mobile Software Engineering and Systems, MOBILESoft 2019",Conference,Computer Networks and Communications,United States,-,Not found,Not found
exnio2021,"SAC '21: The 36th ACM/SIGAPP Symposium on Applied Computing, Virtual Event, Republic of Korea, March 22-26, 2021",Conference,Not found,Not found,Not found,Not found,Not found
annnt2022,2022 International Conference on Advanced Aspects of Software Engineering (ICAASE),Conference,Not found,Not found,Not found,Not found,Not found
ruans2022,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
enhes2023,E-Learning and Digital Media,Journal,Computer Science Applications,United Kingdom,2009-2025,Not found,"E-Learning and Digital Media is a peer-reviewed international journal directed towards the study and research of e-learning in its diverse aspects: pedagogical, curricular, sociological, economic, philosophical and political. 

This journal explores the ways that different disciplines and alternative approaches can shed light on the study of technically mediated education. Working at the intersection of theoretical psychology, sociology, history, politics and philosophy it poses new questions and offers new answers for research and practice related to digital technologies in education. The change of the title of the journal in 2010 from E-Learning to E-Learning and Digital Media is expressive of this new and emphatically interdisciplinary orientation, and also reflects the fact that technologically-mediated education needs to be located within the political economy and informational ecology of changing mediatic forms."
ayfnt2024,Studies in Engineering and Exact Sciences,Journal,Not found,Not found,Not found,Not found,Not found
