publication_id,Lien Google Scholar,Editors,Book,Publisher,chercheur,chercheur_id,Titre_publication,Auteurs,Lien,Journal,Conference,date_publication,Volumes,nombre_pages,Type,BestSJR,Best Quartile

enses2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c_WOjx4AAAAJ&citation_for_view=c_WOjx4AAAAJ:u-x6o8ySG0sC,Springer International Publishing,,Springer,waffa setra,1,Engineering the Requirements of Data Warehouses: A Comparative Study of Goal-Oriented Approaches,Waffa Setra and Rachid Chalal and Mohamed Lamine Chouder,https://doi.org/10.1007/978-3-319-19578-0_21,,"Computer Science and Its Applications: 5th IFIP TC 5 International Conference, CIIA 2015, Saida, Algeria, May 20-21, 2015, Proceedings 5",2015,,254-265,conference,,
reuon2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c_WOjx4AAAAJ&citation_for_view=c_WOjx4AAAAJ:u5HHmVD_uO8C,Springer International Publishing,,Springer,waffa setra,1,Requirement analysis in data warehouses to support external information,Mohamed Lamine Chouder and Rachid Chalal and Waffa Setra,https://doi.org/10.1007/978-3-319-19578-0_20,,"Computer Science and Its Applications: 5th IFIP TC 5 International Conference, CIIA 2015, Saida, Algeria, May 20-21, 2015, Proceedings 5",2015,,243-253,conference,,

onoon2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n84UnjcAAAAJ&citation_for_view=n84UnjcAAAAJ:Y0pCki6q_DkC,,,IEEE,Soumia GOUMIRI,16,One convolutional layer model for parking occupancy detection,Soumia Goumiri and Dalila Benboudjema and Wojciech Pieczynski,https://doi.org/10.1109/ISC253183.2021.9562946,,2021 ieee international smart cities conference (isc2),2021,,1--5,conference,,
estor2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n84UnjcAAAAJ&citation_for_view=n84UnjcAAAAJ:9yKSN-GCB0IC,IEEE,,,Soumia GOUMIRI,16,Estimating parking availability using decision tree regressor,Soumia Goumiri and Dalila Benboudjema and Yacine Hakimi,,,"2022 first international conference on big data, iot, web intelligence and applications (biwa)",2022,,1-6,conference,,
anson2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n84UnjcAAAAJ&citation_for_view=n84UnjcAAAAJ:u-x6o8ySG0sC,Springer London,,,Soumia GOUMIRI,16,A new hybrid model of convolutional neural networks and hidden Markov chains for image classification,Soumia Goumiri and Dalila Benboudjema and Wojciech Pieczynski,https://doi.org/10.1007/s00521-023-08644-4,Neural Computing and Applications,,2023,35.0,17987-18002,journal,"1,102",Q1
hmnis2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n84UnjcAAAAJ&citation_for_view=n84UnjcAAAAJ:qjMakFHDy7sC,IEEE,,,Soumia GOUMIRI,16,HMC-COVID-19: Hidden Markov Chains Model for COVID-19 Diagnosis,Soumia Goumiri and Dalila Benboudjema,,,2023 International Conference on Decision Aid Sciences and Applications (DASA),2023,,500-504,conference,,
smlns2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n84UnjcAAAAJ&citation_for_view=n84UnjcAAAAJ:2osOgNQ5qMEC,Taylor & Francis,,,Soumia GOUMIRI,16,"Smart Mobility in Smart Cities: Emerging challenges, recent advances and future directions",Soumia Goumiri and Saïd Yahiaoui and Soufiene Djahel,https://doi.org/10.1080/15472450.2023.2245750,J. Intell. Transp. Syst,,2025,29.0,81-117,journal,,

